"Dodana vrednost po: TRANSAKCIJE, MERITVE, VRSTA PODATKA , ÈETRTLETJE"

" ";"Stalne cene, referenèno leto 2010 (mio EUR)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
" ";"Originalni podatki";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
" ";"1995Q1";"1995Q2";"1995Q3";"1995Q4";"1996Q1";"1996Q2";"1996Q3";"1996Q4";"1997Q1";"1997Q2";"1997Q3";"1997Q4";"1998Q1";"1998Q2";"1998Q3";"1998Q4";"1999Q1";"1999Q2";"1999Q3";"1999Q4";"2000Q1";"2000Q2";"2000Q3";"2000Q4";"2001Q1";"2001Q2";"2001Q3";"2001Q4";"2002Q1";"2002Q2";"2002Q3";"2002Q4";"2003Q1";"2003Q2";"2003Q3";"2003Q4";"2004Q1";"2004Q2";"2004Q3";"2004Q4";"2005Q1";"2005Q2";"2005Q3";"2005Q4";"2006Q1";"2006Q2";"2006Q3";"2006Q4";"2007Q1";"2007Q2";"2007Q3";"2007Q4";"2008Q1";"2008Q2";"2008Q3";"2008Q4";"2009Q1";"2009Q2";"2009Q3";"2009Q4";"2010Q1";"2010Q2";"2010Q3";"2010Q4";"2011Q1";"2011Q2";"2011Q3";"2011Q4";"2012Q1";"2012Q2";"2012Q3";"2012Q4";"2013Q1";"2013Q2";"2013Q3";"2013Q4";"2014Q1";"2014Q2";"2014Q3";"2014Q4";"2015Q1";"2015Q2";"2015Q3";"2015Q4";"2016Q1";"2016Q2";"2016Q3";"2016Q4";"2017Q1";"2017Q2";"2017Q3";"2017Q4";"2018Q1";"2018Q2";"2018Q3"
"A Kmetijstvo, lov, gozdarstvo, ribištvo";149.7;143.6;135.5;177.9;140.3;176.5;159.1;162.3;150.3;187.0;167.4;170.4;148.1;184.8;164.7;166.8;139.0;173.8;155.1;157.6;141.0;175.7;156.9;160.2;140.7;176.3;156.3;160.8;162.3;204.8;181.0;183.7;116.6;153.2;133.8;132.7;149.4;192.4;170.8;172.4;142.6;183.8;161.8;158.6;138.9;179.5;160.6;162.6;151.8;190.7;167.7;166.0;151.1;189.7;171.9;166.9;127.5;176.3;161.0;151.0;129.1;182.8;162.0;152.1;146.1;190.4;167.4;164.4;133.7;174.2;154.3;151.0;121.3;166.7;155.6;164.2;144.3;188.7;170.3;179.2;150.6;204.6;189.3;201.4;154.2;204.3;189.6;203.4;148.8;195.7;181.9;187.2;159.4;222.0;207.2
"BCDE Rudarstvo, predelovalne dejavnosti, oskrba z elektriko in vodo, ravnanje z odplakami, saniranje okolja";1108.1;1223.1;1100.1;1126.1;1101.8;1219.9;1164.8;1277.0;1176.6;1330.7;1247.1;1362.7;1254.5;1345.1;1272.9;1343.7;1238.0;1362.1;1317.1;1426.6;1384.8;1504.6;1421.8;1488.0;1465.7;1553.0;1458.7;1515.3;1526.1;1632.3;1551.0;1608.0;1602.7;1680.3;1626.4;1695.1;1674.4;1800.6;1738.2;1732.7;1706.3;1903.9;1798.9;1809.2;1829.2;1985.3;1927.8;1978.0;1979.9;2135.4;2071.0;2112.3;2079.1;2275.3;2104.1;1924.0;1717.1;1852.9;1812.2;1801.3;1720.1;2031.6;1948.6;1950.7;1856.9;2139.5;1948.2;1888.5;1860.9;2066.9;1865.6;1844.5;1820.5;2009.6;1855.7;1936.0;1894.4;2123.4;1964.8;2006.0;1948.8;2126.9;1964.1;2025.0;2013.7;2258.8;2049.2;2112.5;2149.0;2401.2;2214.7;2319.1;2276.9;2526.5;2284.2
"..od tega: C Predelovalne dejavnosti";887.2;1000.9;886.6;907.7;891.3;1000.9;948.2;1043.2;953.4;1095.7;1013.8;1115.8;1016.7;1110.6;1040.3;1095.2;1004.6;1137.1;1084.9;1167.6;1136.1;1257.8;1176.1;1236.4;1220.6;1301.2;1221.0;1267.9;1281.7;1373.3;1313.1;1333.5;1342.1;1407.0;1385.9;1427.8;1405.6;1499.5;1481.0;1458.8;1427.4;1598.6;1538.1;1519.8;1535.2;1672.2;1651.2;1648.3;1668.6;1813.1;1788.1;1781.1;1742.4;1913.0;1805.9;1600.4;1399.6;1525.9;1531.3;1477.4;1397.2;1697.5;1660.6;1612.0;1523.6;1807.9;1660.8;1553.3;1527.6;1732.3;1575.8;1509.2;1473.9;1677.3;1560.5;1596.6;1543.2;1769.3;1663.7;1678.3;1614.2;1792.0;1672.5;1707.8;1685.9;1918.2;1752.0;1774.3;1805.3;2050.9;1904.5;1967.7;1926.8;2168.8;1974.2
"F Gradbeništvo";300.7;352.8;369.0;347.0;336.1;395.2;418.8;362.1;352.1;421.7;428.3;377.2;363.4;399.3;415.8;408.3;404.7;494.8;466.5;449.0;413.5;441.6;487.7;454.8;409.0;438.2;488.4;455.9;409.8;448.1;501.9;476.8;428.9;497.0;525.0;482.1;441.6;480.4;541.8;484.0;436.6;526.3;546.8;503.4;456.1;561.3;649.1;638.2;585.0;698.6;753.9;680.0;683.6;727.4;782.1;653.5;616.6;650.4;650.1;547.2;501.8;521.1;528.1;463.9;428.0;450.3;489.6;444.0;411.8;424.8;450.7;385.7;335.6;369.1;411.9;409.5;384.7;442.6;456.6;401.0;382.8;422.1;438.1;417.1;333.5;399.1;443.9;422.2;370.5;432.5;454.1;477.0;414.3;480.5;535.6
"GHI Trgovina in popravila vozil, promet in skladišèenje, gostinstvo";829.8;933.4;1001.3;1013.0;844.0;935.5;1001.9;1000.7;893.8;1043.4;1090.0;1058.3;923.9;1057.7;1092.8;1101.1;980.8;1150.3;1100.4;1132.5;1045.6;1164.8;1177.7;1174.7;1157.3;1258.1;1255.2;1231.1;1215.6;1328.7;1333.6;1286.5;1247.6;1356.0;1370.6;1332.0;1280.1;1399.2;1434.7;1360.2;1345.9;1490.8;1507.4;1410.8;1446.7;1599.1;1597.0;1519.7;1541.5;1718.6;1730.3;1606.7;1619.1;1787.8;1793.7;1626.3;1450.8;1629.4;1633.7;1508.8;1415.6;1651.5;1699.2;1533.2;1422.0;1695.6;1748.5;1541.9;1393.8;1620.1;1654.6;1477.1;1325.1;1628.2;1679.5;1507.8;1359.1;1669.6;1738.4;1563.9;1427.6;1771.7;1845.0;1613.3;1519.0;1846.2;1932.5;1708.7;1636.4;1986.1;2049.3;1796.9;1698.5;2068.0;2139.4
"J Informacijske in komunikacijske dejavnosti";120.6;113.9;110.0;104.0;123.7;120.5;117.4;116.5;127.8;129.0;123.2;133.2;146.7;152.7;148.4;158.7;163.4;166.3;160.5;170.1;175.7;176.2;167.4;173.8;184.8;185.6;175.5;187.2;176.8;185.2;172.8;189.3;188.8;203.7;201.1;210.3;198.7;238.9;206.9;227.0;224.5;249.9;231.8;271.0;260.4;276.4;253.8;279.0;268.1;299.5;287.9;315.6;302.6;338.4;314.9;345.5;299.7;323.5;302.0;318.9;305.6;328.9;312.4;338.8;307.9;326.8;310.2;342.2;314.3;323.0;311.0;334.4;320.2;328.1;319.6;324.4;324.4;335.0;339.0;356.0;345.7;351.0;364.9;386.8;345.1;351.2;361.7;377.0;350.3;379.2;376.0;413.8;368.6;392.5;403.5
"K Finanène in zavarovalniške dejavnosti";160.0;169.1;164.5;151.3;175.9;158.5;166.3;189.9;177.5;161.3;169.0;180.9;194.6;173.1;188.5;212.6;225.3;199.7;210.0;235.6;238.5;203.3;210.2;248.8;247.2;220.1;220.1;253.8;254.6;219.0;241.6;287.0;291.5;252.3;266.6;298.8;307.5;273.2;289.6;327.5;354.8;310.2;318.1;350.0;375.6;362.7;353.9;316.8;437.5;423.3;413.2;356.6;480.9;464.6;405.1;339.5;565.3;455.7;333.2;351.8;535.8;428.0;359.9;373.7;562.6;421.7;365.6;281.9;523.9;371.0;347.9;318.3;556.0;377.4;353.5;227.2;539.2;357.7;317.9;279.7;496.6;356.2;309.8;295.7;476.7;375.7;355.6;299.7;461.0;354.2;328.6;336.1;475.6;331.2;359.6
"L Poslovanje z nepremièninami";465.9;467.8;469.5;471.2;473.3;474.9;472.7;478.0;478.6;480.8;478.9;484.2;485.9;488.2;485.5;491.7;493.8;496.6;493.0;499.3;499.9;503.1;497.9;505.8;507.3;510.2;504.9;513.5;510.9;518.7;519.8;528.5;520.0;535.7;520.5;534.8;522.9;537.5;525.7;547.5;533.4;555.2;543.9;569.5;544.4;552.1;563.7;600.4;576.8;579.3;589.4;611.2;601.0;638.7;612.4;649.2;609.7;609.3;635.3;641.9;625.1;623.8;643.9;644.3;620.7;616.9;644.0;645.7;635.1;615.4;639.8;643.9;635.6;620.6;643.7;647.3;645.3;622.2;658.5;651.0;651.8;617.6;660.0;649.8;651.1;620.2;659.9;644.4;659.5;626.3;666.2;653.6;660.0;630.4;677.1
"MN Strokovne, znanstvene, tehniène dejavnosti in druge raznovrstne poslovne dejavnosti";454.1;511.0;485.4;563.9;419.0;480.6;499.4;570.8;404.8;478.9;499.3;567.1;411.1;478.5;502.1;574.2;425.7;509.7;533.5;620.8;458.4;550.7;564.8;658.9;477.6;562.0;591.7;672.6;508.9;554.2;583.5;715.6;513.6;616.5;622.9;687.1;535.2;633.0;625.0;723.0;501.8;620.3;618.3;719.9;533.5;643.3;680.4;805.6;589.5;680.0;742.9;845.4;654.2;733.8;782.9;835.5;611.0;684.1;710.5;823.4;660.8;736.6;754.5;837.9;649.7;758.6;755.0;845.3;657.0;748.4;729.4;821.7;639.7;755.1;740.7;833.7;703.2;815.8;797.0;885.1;726.1;829.4;833.1;941.1;760.6;856.6;864.5;974.3;841.0;905.7;932.2;1078.8;896.1;970.4;979.6
"OPQ Uprava in obramba, izobraževanje, zdravstvo in socialno varstvo";952.8;988.8;997.5;961.2;978.7;1021.4;1026.5;998.0;1008.5;1049.4;1056.6;1026.5;1043.3;1090.2;1097.8;1062.1;1071.9;1128.7;1138.4;1101.7;1117.2;1175.3;1187.1;1149.5;1166.9;1175.2;1210.3;1214.3;1200.4;1221.1;1248.0;1246.5;1238.3;1261.5;1281.3;1258.4;1262.8;1278.3;1308.3;1318.8;1293.4;1317.8;1350.9;1364.8;1311.6;1328.8;1360.9;1372.1;1332.0;1353.6;1375.3;1391.2;1346.1;1360.0;1375.8;1383.7;1363.2;1371.3;1393.0;1418.4;1387.7;1388.5;1409.7;1425.3;1389.6;1389.2;1414.3;1435.5;1411.6;1413.7;1429.3;1441.5;1396.1;1397.0;1412.5;1429.8;1396.6;1388.4;1405.8;1436.5;1399.9;1398.5;1424.3;1455.7;1422.8;1428.7;1455.0;1501.6;1448.9;1451.2;1468.4;1531.4;1479.8;1483.9;1495.0
"RST Druge storitvene dejavnosti";174.0;170.7;171.3;173.5;174.8;180.7;173.3;187.6;176.0;183.7;178.9;197.8;189.1;197.0;191.1;209.3;213.3;226.5;217.4;231.7;205.8;210.5;200.2;211.5;200.0;209.7;201.2;218.0;192.8;214.1;193.9;219.1;196.2;211.5;201.7;222.5;203.1;216.1;206.0;235.0;214.8;233.7;222.6;244.9;219.6;232.3;223.1;238.8;220.8;231.5;219.8;236.1;220.4;231.9;221.6;237.2;214.7;221.6;215.5;229.2;206.6;221.1;216.7;225.6;210.9;221.8;218.7;231.2;213.4;214.3;209.3;221.7;198.4;213.6;206.4;237.8;193.6;213.7;209.5;235.4;206.1;221.6;212.0;243.8;219.9;234.6;226.1;253.5;224.7;238.5;233.4;256.4;227.9;241.9;236.7
"Dodana vrednost, skupaj";4664.0;5014.6;4909.6;4991.7;4720.3;5105.0;5113.8;5289.0;4912.4;5423.7;5367.7;5516.2;5136.0;5533.3;5501.8;5682.8;5311.4;5856.4;5721.9;5977.0;5660.6;6078.0;6009.7;6179.8;5945.9;6267.6;6198.8;6367.8;6146.3;6514.1;6478.0;6693.3;6329.8;6739.4;6703.3;6829.6;6570.5;7055.4;7020.3;7110.8;6754.3;7397.2;7281.0;7394.8;7119.5;7731.8;7759.0;7907.1;7693.5;8323.3;8347.7;8325.0;8140.5;8767.1;8570.5;8165.3;7562.6;7971.3;7846.0;7791.6;7481.1;8115.4;8038.3;7947.9;7594.3;8210.9;8061.5;7820.5;7552.5;7973.8;7789.1;7635.1;7312.1;7868.7;7779.4;7737.9;7551.6;8179.9;8075.6;8014.8;7717.6;8323.5;8255.2;8245.3;7893.8;8601.1;8545.0;8509.3;8293.9;9002.8;8924.8;9076.7;8672.1;9384.8;9342.0
"Neto davki na proizvode";692.7;811.8;782.8;800.0;759.4;843.0;819.0;812.9;775.0;918.6;867.7;880.5;827.3;930.7;914.7;951.8;903.1;1087.3;964.4;1011.9;946.3;1022.0;1009.7;1032.3;908.0;984.1;987.3;1079.9;930.9;981.4;999.2;1084.0;960.2;969.9;1022.4;1117.9;987.1;1019.6;1088.5;1155.3;1031.4;1104.0;1136.9;1193.2;1083.5;1188.0;1172.5;1207.0;1145.9;1211.5;1262.4;1294.8;1221.1;1348.6;1336.0;1304.1;1092.3;1149.3;1204.5;1192.6;1075.5;1165.9;1175.7;1252.6;1181.9;1223.3;1202.7;1192.7;1172.2;1120.0;1181.9;1087.5;1016.5;1087.8;1153.8;1157.2;993.6;1083.6;1146.0;1123.9;1027.5;1134.3;1153.5;1144.0;1077.3;1169.6;1175.5;1165.7;1109.6;1185.5;1210.1;1208.2;1174.9;1214.2;1282.0
"Bruto domaèi proizvod";5346.4;5818.0;5683.7;5783.0;5471.5;5940.1;5923.9;6091.3;5678.6;6333.2;6226.1;6387.0;5954.8;6451.8;6405.1;6622.4;6202.3;6924.1;6673.7;6975.4;6595.2;7087.1;7006.6;7199.3;6852.1;7246.6;7179.2;7432.7;7075.8;7494.6;7473.7;7768.0;7287.4;7709.5;7722.6;7939.9;7555.5;8075.3;8104.5;8258.3;7782.5;8499.8;8412.5;8579.5;8200.3;8915.8;8929.4;9110.8;8838.6;9536.3;9607.6;9614.2;9360.0;10112.2;9901.9;9463.4;8657.0;9123.0;9047.6;8981.6;8557.6;9282.5;9214.4;9197.9;8776.2;9434.2;9264.2;9013.2;8724.4;9094.9;8971.0;8723.5;8327.1;8954.7;8933.8;8896.0;8536.9;9255.1;9219.8;9135.8;8736.6;9451.9;9406.4;9386.1;8965.7;9764.3;9715.8;9669.7;9395.3;10177.3;10127.9;10275.3;9840.1;10585.1;10618.3

"Vir: Statistièni urad Republike Slovenije. "
" "
"Podatki pred letom 2007 so preraèunani v evre po fiksnem teèaju 1 "
"evro = 239,64 tolarja."

"Povezane vsebine: "
"- (seznam HREF= "
"http://www.stat.si/StatWeb/Common/PrikaziDokument.ashx?IdDatoteke=8237"
"target=_blank) Metodološka pojasnila "
" "

